ceiling_height,area,room_count,floor_count,floor ,distance_to_center,owner_enc,district_Есильский р-н,district_Нура р-н,district_Сарайшык р-н,district_Сарыарка р-н,district_р-н Байконур,house_type_монолитный дом,house_type_панельный дом,year_category,price_per_m2
3.0,112.1,3.0,12.0,10.0,3.2995518176197045,0,1,0,0,0,0,0,0,7,802854.5941123997
2.7,73.0,3.0,9.0,4.0,6.037032652802394,0,0,0,0,0,0,0,0,5,506835.61643835617
3.0,71.0,3.0,13.0,7.0,2.6089684296174354,0,0,1,0,0,0,1,0,7,830985.9154929577
2.7,34.0,1.0,13.0,7.0,3.633423011354776,0,0,0,0,0,0,1,0,6,632352.9411764706
3.0,114.41,4.0,9.0,9.0,7.223812041542382,0,1,0,0,0,0,1,0,7,549000.0
3.0,107.58,4.0,9.0,9.0,7.223812041542382,0,1,0,0,0,0,1,0,7,525000.0
3.0,68.86,2.0,10.0,17.0,7.477590036522256,0,0,0,1,0,0,0,0,7,520000.0
2.7,81.01,3.0,9.0,9.0,8.145237274207853,0,0,0,1,0,0,1,0,7,360000.0
3.0,86.5,3.0,12.0,7.0,4.639291099866582,0,0,1,0,0,0,1,0,7,589595.3757225433
3.0,98.0,3.0,20.0,14.0,4.862793825592404,0,1,0,0,0,0,1,0,7,867346.9387755102
2.7,61.62,3.0,9.0,7.0,8.370694432223715,0,1,0,0,0,0,1,0,7,462512.17137293087
3.0,56.0,2.0,22.0,14.0,3.351468091110236,0,0,1,0,0,0,1,0,7,750000.0
3.0,37.72,1.0,10.0,17.0,7.477590036522256,0,0,0,1,0,0,0,0,7,540000.0
3.3,43.0,1.0,9.0,1.0,8.145237274207853,0,0,0,1,0,0,1,0,7,465116.27906976745
